Setting,Antibiotic,Rcgc_AMR_ALL,Rcgc_AMR_DEF,Rcgc_AMR_DEF_zero_replaced,Rtax_e4,Rtax_enterobacteriaceae,Rtax_enterobacterales,Observed_Resistant_Infections,Total_Observed_Infections_With_AST_Data
KENYA_POP_POOL,trimethoprimsulfamethoxazole (324),0.000431146,0,0.000431146,0.301315573,0.320517093,0.323581291,200,324
UK_POP_POOL,ampicillin (NA),0.016112358,1.66E-05,1.66E-05,0.675014498,0.729308225,0.757429531,NA,NA
UK_POP_POOL,amikacin (903),0.005129963,0,0.005129963,0.675014498,0.729308225,0.757429531,42,903
UK_POP_POOL,cefotaxime (224),5.77E-05,0.000190053,0.000190053,0.675014498,0.729308225,0.757429531,103,224
UK_POP_POOL,imipenem (NA),0.002081447,1.42E-05,1.42E-05,0.675014498,0.729308225,0.757429531,NA,NA
UK_POP_POOL,cefuroxime (908),1.44E-05,0,1.44E-05,0.675014498,0.729308225,0.757429531,291,908
UK_POP_POOL,cefoxitin (224),5.83E-05,0.000192414,0.000192414,0.675014498,0.729308225,0.757429531,61,224
UK_POP_POOL,meropenem (908),5.05E-05,0,5.05E-05,0.675014498,0.729308225,0.757429531,7,908
UK_POP_POOL,chloramphenicol (20),0.042018232,0.004780249,0.004780249,0.675014498,0.729308225,0.757429531,14,20
UK_POP_POOL,cefpodoxime (776),1.44E-05,0,1.44E-05,0.675014498,0.729308225,0.757429531,108,776
UK_POP_POOL,nalidixicacid (49),0.017119671,0.047913003,0.047913003,0.675014498,0.729308225,0.757429531,35,49
UK_POP_POOL,ciprofloxacin (912),0.018536246,0.029465663,0.029465663,0.675014498,0.729308225,0.757429531,189,912
UK_POP_POOL,ceftazidime (906),0.002125299,0.000127733,0.000127733,0.675014498,0.729308225,0.757429531,243,906
UK_POP_POOL,nitrofurantoin (41),0.002063591,0.008656259,0.008656259,0.675014498,0.729308225,0.757429531,11,41
UK_POP_POOL,Gentamicin_All (905),0.007315403,0.000493644,0.000493644,0.675014498,0.729308225,0.757429531,144,905
UK_POP_POOL,ceftriaxone (3),0.000135401,0,0.000135401,0.675014498,0.729308225,0.757429531,0,3
UK_POP_POOL,trimethoprimsulfamethoxazole (549),2.49E-05,0,2.49E-05,0.675014498,0.729308225,0.757429531,168,549
